X.1,X,etl_dt,bank_code,data_dt,bank_nm,mortgage_cnt,mortgage_bal,decorator_hse_cnt,decorator_hse_bal,ln_car_cnt,ln_car_bal,ln_worker_cnt,ln_worker_bal,other_cl_cnt,other_cl_bal
1516,1516,1516,2013-11-26 22:30:15.9678,158       ,2007-04-01 00:00:00,彰化第一信用合作社,925,1.655e+09,179,2.1e+08,0,0,0,0,6,1e+06
1517,1517,1517,2013-11-26 22:30:15.969779,076       ,2007-04-01 00:00:00,美商摩根大通銀行,0,0,0,0,0,0,0,0,0,0
1518,1518,1518,2013-11-26 22:30:15.972121,079       ,2007-04-01 00:00:00,比利時商富通銀行,0,0,0,0,0,0,0,0,0,0
1519,1519,1519,2013-11-26 22:30:15.973863,147       ,2007-04-01 00:00:00,三信商業銀行,6424,2.0043e+10,1390,2.498e+09,16205,6.101e+09,0,0,25243,1.1767e+10
1520,1520,1520,2013-11-26 22:30:15.975833,085       ,2007-04-01 00:00:00,新加坡商新加坡華僑銀行,0,0,0,0,0,0,0,0,0,0
1521,1521,1521,2013-11-26 22:30:15.977753,816       ,2007-04-01 00:00:00,安泰商業銀行,20679,5.2591e+10,8587,1.9591e+10,18671,5.48e+09,132,1e+07,37259,1.413e+10
1522,1522,1522,2013-11-26 22:30:15.979884,N019      ,2007-04-01 00:00:00,香港東亞銀行,0,0,0,0,0,0,0,0,412,1.1e+08
1523,1523,1523,2013-11-26 22:30:15.98196,808       ,2007-04-01 00:00:00,玉山商業銀行,42438,1.47813e+11,51150,1.16275e+11,0,0,9,0,104726,1.6186e+10
1524,1524,1524,2013-11-26 22:30:15.984055,-01       ,2007-04-01 00:00:00,寶華商業銀行,14561,1.9725e+10,11917,1.4077e+10,7669,1.451e+09,6,2e+06,60171,5.554e+09
1525,1525,1525,2013-11-26 22:30:16.004071,020       ,2007-05-01 00:00:00,日商瑞穗實業銀行,0,0,0,0,0,0,0,0,0,0
1526,1526,1526,2013-11-26 22:30:16.006197,N000      ,2007-05-01 00:00:00,台北縣淡水第一信用合作社,10570,1.986e+10,140,1.53e+08,4,1e+06,763,2.4e+08,870,1.91e+08
1527,1527,1527,2013-11-26 22:30:16.008194,040       ,2007-05-01 00:00:00,中華開發工業銀行,4,8e+06,0,0,0,0,0,0,72,4.5e+07
1528,1528,1528,2013-11-26 22:30:16.010435,809       ,2007-05-01 00:00:00,萬泰商業銀行,3867,5.676e+09,1777,2.149e+09,14855,4.195e+09,0,0,396571,5.1275e+10
1529,1529,1529,2013-11-26 22:30:16.014608,008       ,2007-05-01 00:00:00,華南商業銀行,82074,2.3728e+11,30139,2.4343e+10,12703,4.711e+09,7306,2.511e+09,208553,1.5874e+10
1530,1530,1530,2013-11-26 22:30:16.017588,822       ,2007-05-01 00:00:00,中國信託商業銀行,161360,2.6556e+11,15177,1.7246e+10,26496,5.785e+09,0,0,479987,7.7937e+10
1531,1531,1531,2013-11-26 22:30:16.021948,146       ,2007-05-01 00:00:00,台中市第二信用合作社,10526,1.7885e+10,109,8.6e+07,10,0,0,0,975,3.46e+08
1532,1532,1532,2013-11-26 22:30:16.024,N001      ,2007-05-01 00:00:00,高雄第二信用合作社,2484,4.247e+09,530,3.21e+08,0,0,2090,8.89e+08,13329,2.737e+09
1533,1533,1533,2013-11-26 22:30:16.026138,805       ,2007-05-01 00:00:00,遠東國際商業銀行,48351,9.771e+10,12289,2.2095e+10,15995,3.09e+09,17249,5.4e+09,117052,1.233e+10
1534,1534,1534,2013-11-26 22:30:16.028206,163       ,2007-05-01 00:00:00,彰化第十信用合作社,656,8.34e+08,0,0,0,0,0,0,10,0
1535,1535,1535,2013-11-26 22:30:16.030029,093       ,2007-05-01 00:00:00,荷蘭商安智銀行,0,0,0,0,0,0,0,0,1,1e+06
1536,1536,1536,2013-11-26 22:30:16.031997,029       ,2007-05-01 00:00:00,新加坡大華銀行,0,0,0,0,0,0,0,0,0,0
1537,1537,1537,2013-11-26 22:30:16.035819,037       ,2007-05-01 00:00:00,法國興業銀行,0,0,0,0,0,0,0,0,0,0
1538,1538,1538,2013-11-26 22:30:16.037997,224       ,2007-05-01 00:00:00,金門縣信用合作社,96,1.42e+08,122,3e+08,0,0,0,0,75,4.3e+07
1539,1539,1539,2013-11-26 22:30:16.040319,115       ,2007-05-01 00:00:00,基隆市第二信用合作社,1493,3.885e+09,272,3.82e+08,68,2.4e+07,0,0,1546,3.67e+08
1540,1540,1540,2013-11-26 22:30:16.04234,162       ,2007-05-01 00:00:00,彰化第六信用合作社,2937,4.691e+09,348,3.18e+08,0,0,0,0,2592,2.68e+08
1541,1541,1541,2013-11-26 22:30:16.04427,812       ,2007-05-01 00:00:00,台新國際商業銀行,156247,1.94305e+11,8468,9.118e+09,58763,1.9565e+10,0,0,401594,6.2772e+10
1542,1542,1542,2013-11-26 22:30:16.046323,082       ,2007-05-01 00:00:00,法商法國巴黎銀行,23,9.7e+07,0,0,0,0,0,0,14,3e+06
1543,1543,1543,2013-11-26 22:30:16.048321,165       ,2007-05-01 00:00:00,彰化縣鹿港信用合作社,1034,1.471e+09,770,1.054e+09,0,0,0,0,891,2.33e+08
1544,1544,1544,2013-11-26 22:30:16.050591,016       ,2007-05-01 00:00:00,高雄銀行,24008,3.7115e+10,4851,8.306e+09,0,0,0,0,47995,7.069e+09
1545,1545,1545,2013-11-26 22:30:16.054076,127       ,2007-05-01 00:00:00,桃園信用合作社,1627,3.433e+09,817,1.707e+09,0,0,0,0,481,2.69e+08
1546,1546,1546,2013-11-26 22:30:16.057948,012       ,2007-05-01 00:00:00,台北富邦銀行,121593,2.14945e+11,3028,3.519e+09,8824,3.182e+09,211,7.9e+07,222327,3.6059e+10
1547,1547,1547,2013-11-26 22:30:16.060118,023       ,2007-05-01 00:00:00,泰國盤谷銀行,2,1e+06,0,0,0,0,0,0,0,0
1548,1548,1548,2013-11-26 22:30:16.062123,011       ,2007-05-01 00:00:00,上海商業儲蓄銀行,34650,8.579e+10,4679,4.449e+09,75,2.1e+07,0,0,4224,1.011e+09
1549,1549,1549,2013-11-26 22:30:16.064061,N004      ,2007-05-01 00:00:00,新竹市第一信用合作社,3150,7.774e+09,6,5e+06,0,0,0,0,163,6.2e+07
1550,1550,1550,2013-11-26 22:30:16.066073,054       ,2007-05-01 00:00:00,京城商業銀行,12518,2.9056e+10,6796,1.0554e+10,0,0,33,8e+06,13870,1.4517e+10
1551,1551,1551,2013-11-26 22:30:16.068169,097       ,2007-05-01 00:00:00,美商富國銀行,0,0,0,0,0,0,0,0,0,0
1552,1552,1552,2013-11-26 22:30:16.070662,106       ,2007-05-01 00:00:00,台北市第九信用合作社,730,1.842e+09,0,0,0,0,0,0,322,8.4e+07
1553,1553,1553,2013-11-26 22:30:16.072755,118       ,2007-05-01 00:00:00,板信商業銀行,22525,3.8725e+10,266,3.85e+08,109,1.8e+07,0,0,61566,7.656e+09
1554,1554,1554,2013-11-26 22:30:16.074742,N005      ,2007-05-01 00:00:00,高雄第三信用合作社,7119,1.2777e+10,7423,9.732e+09,0,0,883,4.04e+08,2305,7.23e+08
1555,1555,1555,2013-11-26 22:30:16.076684,222       ,2007-05-01 00:00:00,澎湖縣第一信用合作社,107,3.11e+08,16,3.6e+07,0,0,0,0,182,8.9e+07
1556,1556,1556,2013-11-26 22:30:16.07893,216       ,2007-05-01 00:00:00,花蓮第二信用合作社,8227,1.4336e+10,3284,5.638e+09,0,0,1964,8.23e+08,61,5e+06
1557,1557,1557,2013-11-26 22:30:16.081429,005       ,2007-05-01 00:00:00,臺灣土地銀行,283789,4.67796e+11,55173,6.2354e+10,352,2.46e+08,133380,5.1901e+10,40975,4.484e+09
1558,1558,1558,2013-11-26 22:30:16.083406,083       ,2007-05-01 00:00:00,英商渣打銀行,3594,7.514e+09,0,0,0,0,0,0,6093,5.22e+08
1559,1559,1559,2013-11-26 22:30:16.085336,024       ,2007-05-01 00:00:00,美國運通銀行,0,0,1,1e+06,0,0,0,0,25744,3.454e+09
1560,1560,1560,2013-11-26 22:30:16.087288,052       ,2007-05-01 00:00:00,新竹國際商業銀行,48233,9.2187e+10,13518,2.5258e+10,0,0,2,1e+06,196921,4.5309e+10
1561,1561,1561,2013-11-26 22:30:16.089285,N006      ,2007-05-01 00:00:00,澳商澳洲紐西蘭銀行,1,3e+06,0,0,0,0,0,0,0,0
1562,1562,1562,2013-11-26 22:30:16.091488,161       ,2007-05-01 00:00:00,彰化第五信用合作社,563,9.97e+08,55,8.9e+07,0,0,0,0,13,5e+06
1563,1563,1563,2013-11-26 22:30:16.09351,025       ,2007-05-01 00:00:00,菲律賓首都銀行,0,0,0,0,0,0,0,0,56,5e+06
1564,1564,1564,2013-11-26 22:30:16.097543,087       ,2007-05-01 00:00:00,斐商標準銀行,0,0,0,0,0,0,0,0,0,0
1565,1565,1565,2013-11-26 22:30:16.099543,188       ,2007-05-01 00:00:00,台南第三信用合作社,2173,3.583e+09,98,6.7e+07,0,0,0,0,5157,9.6e+07
1566,1566,1566,2013-11-26 22:30:16.101687,139       ,2007-05-01 00:00:00,苗栗縣竹南信用合作社,2182,3.651e+09,734,5.43e+08,0,0,0,0,223,1.21e+08
1567,1567,1567,2013-11-26 22:30:16.103596,215       ,2007-05-01 00:00:00,花蓮第一信用合作社,3007,5.855e+09,1555,2.414e+09,0,0,146,4.8e+07,1862,5.06e+08
1568,1568,1568,2013-11-26 22:30:16.105596,078       ,2007-05-01 00:00:00,新加坡商星展銀行,0,0,0,0,0,0,0,0,0,0
1569,1569,1569,2013-11-26 22:30:16.107461,092       ,2007-05-01 00:00:00,瑞士商瑞士銀行,0,0,0,0,0,0,0,0,0,0
1570,1570,1570,2013-11-26 22:30:16.109393,108       ,2007-05-01 00:00:00,陽信商業銀行,26303,5.8016e+10,3346,5.569e+09,12,8e+06,0,0,32595,6.541e+09
1571,1571,1571,2013-11-26 22:30:16.113949,178       ,2007-05-01 00:00:00,嘉義市第三信用合作社,1032,1.57e+09,1003,2.163e+09,0,0,0,0,731,3.34e+08
1572,1572,1572,2013-11-26 22:30:16.116012,815       ,2007-05-01 00:00:00,日盛國際商業銀行,29941,4.9521e+10,8407,1.8228e+10,45692,1.484e+10,0,0,87361,1.3406e+10
1573,1573,1573,2013-11-26 22:30:16.118146,098       ,2007-05-01 00:00:00,日商三菱東京日聯銀行,0,0,0,0,0,0,0,0,0,0
1574,1574,1574,2013-11-26 22:30:16.120277,007       ,2007-05-01 00:00:00,第一商業銀行,77280,2.15851e+11,33740,6.233e+10,3957,7.37e+08,16028,4.359e+09,23763,5.967e+09
1575,1575,1575,2013-11-26 22:30:16.124689,325       ,2007-05-01 00:00:00,香港上海匯豐銀行,19331,6.545e+10,13,1e+06,0,0,0,0,36066,1.4444e+10
1576,1576,1576,2013-11-26 22:30:16.126814,814       ,2007-05-01 00:00:00,大眾商業銀行,25568,6.1008e+10,83,9.2e+07,0,0,0,0,204054,1.2776e+10
1577,1577,1577,2013-11-26 22:30:16.129432,N008      ,2007-05-01 00:00:00,台北縣淡水信用合作社,1432,2.958e+09,574,7.79e+08,0,0,0,0,83,6.4e+07
1578,1578,1578,2013-11-26 22:30:16.131347,101       ,2007-05-01 00:00:00,台北市第一信用合作社,3452,9.198e+09,3368,3.868e+09,0,0,0,0,1425,4.31e+08
1579,1579,1579,2013-11-26 22:30:16.133422,022       ,2007-05-01 00:00:00,美商美國銀行,1,8e+06,0,0,0,0,15,2e+06,0,0
1580,1580,1580,2013-11-26 22:30:16.135555,048       ,2007-05-01 00:00:00,臺灣工業銀行,2,3e+06,0,0,0,0,0,0,0,0
1581,1581,1581,2013-11-26 22:30:16.139613,N010      ,2007-05-01 00:00:00,美商美國紐約銀行,0,0,0,0,0,0,0,0,0,0
1582,1582,1582,2013-11-26 22:30:16.141732,030       ,2007-05-01 00:00:00,美商道富銀行,0,0,0,0,0,0,0,0,0,0
1583,1583,1583,2013-11-26 22:30:16.143717,N011      ,2007-05-01 00:00:00,澎湖縣第二信用合作社,513,7.93e+08,90,9.2e+07,10,5e+06,0,0,904,3.72e+08
1584,1584,1584,2013-11-26 22:30:16.145811,017       ,2007-05-01 00:00:00,兆豐國際商業銀行,60050,1.72094e+11,14618,3.0124e+10,0,0,9031,3.968e+09,8542,2.44e+10
1585,1585,1585,2013-11-26 22:30:16.147814,803       ,2007-05-01 00:00:00,聯邦商業銀行,39463,7.323e+10,20688,4.5968e+10,39988,1.1113e+10,89,3.2e+07,306137,7.977e+09
1586,1586,1586,2013-11-26 22:30:16.149987,114       ,2007-05-01 00:00:00,基隆市第一信用合作社,5201,7.495e+09,988,6.63e+08,0,0,0,0,4692,2.492e+09
1587,1587,1587,2013-11-26 22:30:16.15203,N012      ,2007-05-01 00:00:00,法國東方匯理銀行,9,2.7e+07,0,0,0,0,0,0,0,0
1588,1588,1588,2013-11-26 22:30:16.154055,N013      ,2007-05-01 00:00:00,英商巴克萊銀行,0,0,0,0,0,0,0,0,0,0
1589,1589,1589,2013-11-26 22:30:16.158415,090       ,2007-05-01 00:00:00,加拿大商豐業銀行,0,0,0,0,0,0,0,0,0,0
1590,1590,1590,2013-11-26 22:30:16.160541,013       ,2007-05-01 00:00:00,國泰世華商業銀行,106977,2.2122e+11,9998,1.4374e+10,15895,1.161e+09,0,0,89788,1.2402e+10
1591,1591,1591,2013-11-26 22:30:16.1632,095       ,2007-05-01 00:00:00,美商美聯銀行,0,0,0,0,0,0,0,0,0,0
1592,1592,1592,2013-11-26 22:30:16.165293,015       ,2007-05-01 00:00:00,中國輸出入銀行,0,0,0,0,0,0,0,0,0,0
1593,1593,1593,2013-11-26 22:30:16.167449,N014      ,2007-05-01 00:00:00,新竹市第三信用合作社,2602,5.784e+09,338,2.93e+08,0,0,0,0,1323,3.07e+08
1594,1594,1594,2013-11-26 22:30:16.169657,072       ,2007-05-01 00:00:00,德商德意志銀行,0,0,0,0,0,0,0,0,0,0
1595,1595,1595,2013-11-26 22:30:16.171371,N015      ,2007-05-01 00:00:00,臺中商業銀行,27960,5.0679e+10,852,4.26e+08,14,4.4e+07,0,0,34819,8.004e+09
1596,1596,1596,2013-11-26 22:30:16.17338,009       ,2007-05-01 00:00:00,彰化商業銀行,63957,1.31877e+11,41120,8.0771e+10,0,0,1679,5.91e+08,16415,7.954e+09
1597,1597,1597,2013-11-26 22:30:16.17539,N016      ,2007-05-01 00:00:00,嘉義巿第四信用合作社,84,2.77e+08,1,1e+06,0,0,0,0,0,0
1598,1598,1598,2013-11-26 22:30:16.177315,099       ,2007-05-01 00:00:00,比利時商比利時聯合銀行,9,2.5e+07,0,0,0,0,0,0,0,0
1599,1599,1599,2013-11-26 22:30:16.17954,050       ,2007-05-01 00:00:00,臺灣中小企業銀行,78525,1.33098e+11,6557,1.606e+10,0,0,14531,6.941e+09,24887,3.3119e+10
1600,1600,1600,2013-11-26 22:30:16.181473,104       ,2007-05-01 00:00:00,台北市第五信用合作社,1167,2.922e+09,0,0,0,0,0,0,1162,1.9e+08
1601,1601,1601,2013-11-26 22:30:16.183669,006       ,2007-05-01 00:00:00,合作金庫商業銀行,206479,4.51395e+11,75054,1.11737e+11,28,1e+06,139595,3.9654e+10,41950,2.0039e+10
1602,1602,1602,2013-11-26 22:30:16.185928,N017      ,2007-05-01 00:00:00,宜蘭信用合社,734,1.244e+09,283,3.42e+08,0,0,0,0,476,5.3e+07
1603,1603,1603,2013-11-26 22:30:16.188697,102       ,2007-05-01 00:00:00,華泰商業銀行,3875,1.5073e+10,3735,1.3184e+10,0,0,0,0,4041,1.327e+09
1604,1604,1604,2013-11-26 22:30:16.191276,N018      ,2007-05-01 00:00:00,台南第六信用合作社,0,0,0,0,0,0,0,0,0,0
1605,1605,1605,2013-11-26 22:30:16.193329,103       ,2007-05-01 00:00:00,臺灣新光商業銀行,17240,5.2363e+10,580,7.71e+08,21482,5.47e+09,0,0,116585,2.9879e+10
1606,1606,1606,2013-11-26 22:30:16.19538,807       ,2007-05-01 00:00:00,永豐商業銀行,128358,2.88007e+11,15553,2.275e+10,18101,7.141e+09,0,0,56851,1.8196e+10
1607,1607,1607,2013-11-26 22:30:16.19731,321       ,2007-05-01 00:00:00,日商三井住友銀行,0,0,0,0,0,0,0,0,0,0
1608,1608,1608,2013-11-26 22:30:16.199443,004       ,2007-05-01 00:00:00,臺灣銀行,105233,2.24071e+11,21398,2.7998e+10,0,0,16487,6.02e+09,2927766,1.59643e+11
1609,1609,1609,2013-11-26 22:30:16.201474,158       ,2007-05-01 00:00:00,彰化第一信用合作社,901,1.624e+09,173,2.08e+08,0,0,0,0,5,1e+06
1610,1610,1610,2013-11-26 22:30:16.203533,076       ,2007-05-01 00:00:00,美商摩根大通銀行,0,0,0,0,0,0,0,0,0,0
1611,1611,1611,2013-11-26 22:30:16.205458,079       ,2007-05-01 00:00:00,比利時商富通銀行,0,0,0,0,0,0,0,0,0,0
1612,1612,1612,2013-11-26 22:30:16.207343,147       ,2007-05-01 00:00:00,三信商業銀行,6383,1.9794e+10,1384,2.473e+09,16547,6.139e+09,0,0,25640,1.1792e+10
1613,1613,1613,2013-11-26 22:30:16.209392,085       ,2007-05-01 00:00:00,新加坡商新加坡華僑銀行,0,0,0,0,0,0,0,0,0,0
1614,1614,1614,2013-11-26 22:30:16.211456,816       ,2007-05-01 00:00:00,安泰商業銀行,20556,5.2735e+10,8517,1.9534e+10,20162,5.694e+09,106,8e+06,35855,1.3366e+10
1615,1615,1615,2013-11-26 22:30:16.2135,N019      ,2007-05-01 00:00:00,香港東亞銀行,0,0,0,0,0,0,0,0,386,1.04e+08
1616,1616,1616,2013-11-26 22:30:16.215411,808       ,2007-05-01 00:00:00,玉山商業銀行,43624,1.52005e+11,50382,1.13434e+11,0,0,9,0,101024,1.5847e+10
1617,1617,1617,2013-11-26 22:30:16.217418,-01       ,2007-05-01 00:00:00,寶華商業銀行,14294,1.9271e+10,11649,1.3713e+10,7322,1.339e+09,6,2e+06,58217,5.281e+09
1618,1618,1618,2013-11-26 22:30:16.237709,020       ,2007-06-01 00:00:00,日商瑞穗實業銀行,0,0,0,0,0,0,0,0,0,0
1619,1619,1619,2013-11-26 22:30:16.240057,N000      ,2007-06-01 00:00:00,台北縣淡水第一信用合作社,10624,1.9944e+10,139,1.5e+08,4,1e+06,756,2.34e+08,841,1.82e+08
1620,1620,1620,2013-11-26 22:30:16.241933,040       ,2007-06-01 00:00:00,中華開發工業銀行,4,8e+06,0,0,0,0,0,0,72,4.5e+07
1621,1621,1621,2013-11-26 22:30:16.244057,809       ,2007-06-01 00:00:00,萬泰商業銀行,3852,5.68e+09,1788,2.164e+09,15117,4.274e+09,0,0,392107,5.06e+10
1622,1622,1622,2013-11-26 22:30:16.248583,008       ,2007-06-01 00:00:00,華南商業銀行,82628,2.41864e+11,30127,2.4341e+10,13019,4.791e+09,7109,2.384e+09,204095,1.5288e+10
1623,1623,1623,2013-11-26 22:30:16.250443,822       ,2007-06-01 00:00:00,中國信託商業銀行,160091,2.65104e+11,15256,1.7635e+10,24898,5.4e+09,0,0,469430,7.6568e+10
1624,1624,1624,2013-11-26 22:30:16.254831,146       ,2007-06-01 00:00:00,台中市第二信用合作社,10546,1.7907e+10,111,8.5e+07,10,0,0,0,963,3.39e+08
1625,1625,1625,2013-11-26 22:30:16.256739,N001      ,2007-06-01 00:00:00,高雄第二信用合作社,2487,4.278e+09,527,3.18e+08,0,0,2080,8.74e+08,12790,2.611e+09
1626,1626,1626,2013-11-26 22:30:16.258788,805       ,2007-06-01 00:00:00,遠東國際商業銀行,48418,9.766e+10,12208,2.1761e+10,15820,3.067e+09,17493,5.444e+09,116588,1.2152e+10
1627,1627,1627,2013-11-26 22:30:16.261879,163       ,2007-06-01 00:00:00,彰化第十信用合作社,657,8.62e+08,0,0,0,0,0,0,8,0
1628,1628,1628,2013-11-26 22:30:16.264041,093       ,2007-06-01 00:00:00,荷蘭商安智銀行,0,0,0,0,0,0,0,0,1,0
1629,1629,1629,2013-11-26 22:30:16.266244,029       ,2007-06-01 00:00:00,新加坡大華銀行,0,0,0,0,0,0,0,0,0,0
1630,1630,1630,2013-11-26 22:30:16.270411,037       ,2007-06-01 00:00:00,法國興業銀行,0,0,0,0,0,0,0,0,0,0
1631,1631,1631,2013-11-26 22:30:16.272455,224       ,2007-06-01 00:00:00,金門縣信用合作社,94,1.42e+08,128,3.15e+08,0,0,0,0,79,4.3e+07
1632,1632,1632,2013-11-26 22:30:16.274439,115       ,2007-06-01 00:00:00,基隆市第二信用合作社,1477,3.88e+09,264,3.86e+08,62,2.3e+07,0,0,1539,3.65e+08
1633,1633,1633,2013-11-26 22:30:16.276614,162       ,2007-06-01 00:00:00,彰化第六信用合作社,2967,4.718e+09,275,2.69e+08,0,0,0,0,2490,2.6e+08
1634,1634,1634,2013-11-26 22:30:16.278498,812       ,2007-06-01 00:00:00,台新國際商業銀行,157128,1.94416e+11,8499,8.981e+09,58136,1.9485e+10,0,0,391541,6.1715e+10
1635,1635,1635,2013-11-26 22:30:16.280617,082       ,2007-06-01 00:00:00,法商法國巴黎銀行,23,9.6e+07,0,0,0,0,0,0,14,3e+06
1636,1636,1636,2013-11-26 22:30:16.282693,165       ,2007-06-01 00:00:00,彰化縣鹿港信用合作社,1026,1.451e+09,757,1.047e+09,0,0,0,0,870,2.29e+08
1637,1637,1637,2013-11-26 22:30:16.284612,016       ,2007-06-01 00:00:00,高雄銀行,23678,3.6882e+10,4849,8.395e+09,0,0,0,0,47804,7.262e+09
1638,1638,1638,2013-11-26 22:30:16.288145,127       ,2007-06-01 00:00:00,桃園信用合作社,1645,3.46e+09,814,1.686e+09,0,0,0,0,489,2.71e+08
1639,1639,1639,2013-11-26 22:30:16.290246,012       ,2007-06-01 00:00:00,台北富邦銀行,121871,2.17231e+11,2870,3.297e+09,8741,3.08e+09,236,9.1e+07,214041,3.4961e+10
1640,1640,1640,2013-11-26 22:30:16.292299,023       ,2007-06-01 00:00:00,泰國盤谷銀行,2,1e+06,0,0,0,0,0,0,0,0
1641,1641,1641,2013-11-26 22:30:16.295028,011       ,2007-06-01 00:00:00,上海商業儲蓄銀行,34697,8.6906e+10,5085,4.897e+09,82,2.3e+07,0,0,4474,1.099e+09
1642,1642,1642,2013-11-26 22:30:16.296868,N004      ,2007-06-01 00:00:00,新竹市第一信用合作社,3020,7.764e+09,6,5e+06,0,0,0,0,158,5.7e+07
1643,1643,1643,2013-11-26 22:30:16.299102,054       ,2007-06-01 00:00:00,京城商業銀行,12471,2.8876e+10,6747,1.0397e+10,0,0,33,7e+06,13898,1.4829e+10
1644,1644,1644,2013-11-26 22:30:16.301524,097       ,2007-06-01 00:00:00,美商富國銀行,0,0,0,0,0,0,0,0,0,0
1645,1645,1645,2013-11-26 22:30:16.304199,106       ,2007-06-01 00:00:00,台北市第九信用合作社,735,1.663e+09,0,0,0,0,0,0,320,8.2e+07
1646,1646,1646,2013-11-26 22:30:16.307145,118       ,2007-06-01 00:00:00,板信商業銀行,22448,3.9161e+10,260,3.77e+08,105,1.6e+07,0,0,59486,7.399e+09
1647,1647,1647,2013-11-26 22:30:16.309371,N005      ,2007-06-01 00:00:00,高雄第三信用合作社,7200,1.2924e+10,7488,9.818e+09,0,0,880,3.96e+08,2275,7.08e+08
1648,1648,1648,2013-11-26 22:30:16.311691,222       ,2007-06-01 00:00:00,澎湖縣第一信用合作社,116,3.34e+08,15,3.4e+07,0,0,0,0,186,9.3e+07
1649,1649,1649,2013-11-26 22:30:16.313994,216       ,2007-06-01 00:00:00,花蓮第二信用合作社,8286,1.443e+10,3251,5.584e+09,0,0,1958,8.11e+08,51,4e+06
1650,1650,1650,2013-11-26 22:30:16.316081,005       ,2007-06-01 00:00:00,臺灣土地銀行,283509,4.72375e+11,55177,6.2751e+10,342,2.27e+08,133364,5.1404e+10,39661,4.357e+09
1651,1651,1651,2013-11-26 22:30:16.318135,083       ,2007-06-01 00:00:00,英商渣打銀行,0,0,0,0,0,0,0,0,0,0
1652,1652,1652,2013-11-26 22:30:16.320474,024       ,2007-06-01 00:00:00,美國運通銀行,0,0,1,1e+06,0,0,0,0,24911,3.304e+09
1653,1653,1653,2013-11-26 22:30:16.322691,052       ,2007-06-01 00:00:00,新竹國際商業銀行,51670,9.8722e+10,13628,2.5513e+10,0,0,2,1e+06,201700,4.5159e+10
1654,1654,1654,2013-11-26 22:30:16.324705,N006      ,2007-06-01 00:00:00,澳商澳洲紐西蘭銀行,1,3e+06,0,0,0,0,0,0,0,0
1655,1655,1655,2013-11-26 22:30:16.326953,161       ,2007-06-01 00:00:00,彰化第五信用合作社,562,9.9e+08,55,8.9e+07,0,0,0,0,12,5e+06
1656,1656,1656,2013-11-26 22:30:16.328887,025       ,2007-06-01 00:00:00,菲律賓首都銀行,0,0,0,0,0,0,0,0,53,4e+06
1657,1657,1657,2013-11-26 22:30:16.333288,087       ,2007-06-01 00:00:00,斐商標準銀行,0,0,0,0,0,0,0,0,0,0
1658,1658,1658,2013-11-26 22:30:16.335337,188       ,2007-06-01 00:00:00,台南第三信用合作社,2158,3.562e+09,100,6.7e+07,0,0,0,0,5146,9.4e+07
1659,1659,1659,2013-11-26 22:30:16.337473,139       ,2007-06-01 00:00:00,苗栗縣竹南信用合作社,2208,3.813e+09,742,5.41e+08,0,0,0,0,232,1.23e+08
1660,1660,1660,2013-11-26 22:30:16.339704,215       ,2007-06-01 00:00:00,花蓮第一信用合作社,3104,5.93e+09,1525,2.408e+09,0,0,129,4.2e+07,1871,5.28e+08
1661,1661,1661,2013-11-26 22:30:16.341688,078       ,2007-06-01 00:00:00,新加坡商星展銀行,0,0,0,0,0,0,0,0,0,0
1662,1662,1662,2013-11-26 22:30:16.343704,092       ,2007-06-01 00:00:00,瑞士商瑞士銀行,0,0,0,0,0,0,0,0,0,0
1663,1663,1663,2013-11-26 22:30:16.345764,108       ,2007-06-01 00:00:00,陽信商業銀行,26395,5.7779e+10,3283,5.405e+09,12,8e+06,0,0,33161,6.619e+09
1664,1664,1664,2013-11-26 22:30:16.350075,178       ,2007-06-01 00:00:00,嘉義市第三信用合作社,1047,1.654e+09,997,2.111e+09,0,0,0,0,688,3.12e+08
1665,1665,1665,2013-11-26 22:30:16.352235,815       ,2007-06-01 00:00:00,日盛國際商業銀行,30263,5.0887e+10,8696,1.9348e+10,43435,1.4177e+10,0,0,84985,1.2947e+10
1666,1666,1666,2013-11-26 22:30:16.354404,098       ,2007-06-01 00:00:00,日商三菱東京日聯銀行,0,0,0,0,0,0,0,0,0,0
1667,1667,1667,2013-11-26 22:30:16.357395,007       ,2007-06-01 00:00:00,第一商業銀行,77826,2.19245e+11,33891,6.3029e+10,3305,6.27e+08,15891,4.245e+09,22352,6.077e+09
1668,1668,1668,2013-11-26 22:30:16.361569,325       ,2007-06-01 00:00:00,香港上海匯豐銀行,19136,6.4689e+10,13,1e+06,0,0,0,0,35324,1.4115e+10
1669,1669,1669,2013-11-26 22:30:16.363639,814       ,2007-06-01 00:00:00,大眾商業銀行,30650,6.0976e+10,79,9e+07,0,0,0,0,177681,1.2393e+10
1670,1670,1670,2013-11-26 22:30:16.365662,N008      ,2007-06-01 00:00:00,台北縣淡水信用合作社,1425,2.901e+09,548,7.67e+08,0,0,0,0,87,7.9e+07
1671,1671,1671,2013-11-26 22:30:16.36774,101       ,2007-06-01 00:00:00,台北市第一信用合作社,3463,9.312e+09,3376,3.924e+09,0,0,0,0,1400,4.24e+08
1672,1672,1672,2013-11-26 22:30:16.369928,022       ,2007-06-01 00:00:00,美商美國銀行,1,8e+06,0,0,0,0,15,2e+06,0,0
1673,1673,1673,2013-11-26 22:30:16.371999,048       ,2007-06-01 00:00:00,臺灣工業銀行,2,3e+06,0,0,0,0,0,0,0,0
